Category,Brand,Model Name,Specs (RAM/ROM/Display/etc),Price,Offer Price,Stock,Product Image URL,Description,Warranty,EMI Options
,SAMSUNG ,S24 ULTRA,S24 ULTRA 12GB 512GB 5G TITANIUM GREY,144999,129999,8,https://amzn.in/d/fcSNRTs,,1 Year,Yes
,SAMSUNG ,S24 ULTRA,S24 ULTRA 12GB 512GB 5G TITANIUM VIOLET,144999,129999,8,https://amzn.in/d/fcSNRTs,,1 Year,Yes
,SAMSUNG ,S24 ULTRA,S24 ULTRA 12GB 512GB 5G TITANIUM BLACK,144999,129999,8,https://amzn.in/d/fcSNRTs,,1 Year,Yes
,SAMSUNG ,S24 ULTRA,S24 ULTRA 12GB 512GB 5G TITANIUM YELLOW,144999,129999,8,https://amzn.in/d/fcSNRTs,,1 Year,Yes
,SAMSUNG ,S25 ,S25 12GB 256GB 5G ICY BLUE,80999,80999,8,https://amzn.in/d/3jrobGQ,,1 Year,Yes
,SAMSUNG ,S25 ,S25 12GB 256GB 5G MINT,80999,80999,8,https://amzn.in/d/3jrobGQ,,1 Year,Yes
,SAMSUNG ,S25 ,S25 12GB 256GB 5G SILVER SHADOW,80999,80999,8,https://amzn.in/d/3jrobGQ,,1 Year,Yes
,SAMSUNG ,S25 ,S25 12GB 256GB 5G NAVY,80999,80999,8,https://amzn.in/d/3jrobGQ,,1 Year,Yes
,SAMSUNG ,S25 ,S25 12GB 512GB 5G ICY BLUE ,92999,92999,8,https://amzn.in/d/ahQHaFi,,1 Year,Yes
,SAMSUNG ,S25 ,S25 12GB 512GB 5G MINT,92999,92999,8,https://amzn.in/d/ahQHaFi,,1 Year,Yes
,SAMSUNG ,S25,S25 12GB 512GB 5G SILVER SHADOW,92999,92999,8,https://amzn.in/d/ahQHaFi,,1 Year,Yes
,SAMSUNG ,S25,S25 12GB 512GB 5G NAVY,92999,92999,8,https://amzn.in/d/ahQHaFi,,1 Year,Yes
,SAMSUNG ,S25 ULTRA ,S25 ULTRA 12GB 256GB 5G TITANIUM BLUE ,129999,129999,8,https://amzn.in/d/iDNjGyK,,1 Year,Yes
,SAMSUNG ,S25 ULTRA ,S25 ULTRA 12GB 256GB 5G TITANIUM BLACK,129999,129999,8,https://amzn.in/d/iDNjGyK,,1 Year,Yes
,SAMSUNG ,S25 ULTRA ,S25 ULTRA 12GB 256GB 5G TITANIUM GRAY,129999,129999,8,https://amzn.in/d/iDNjGyK,,1 Year,Yes
,SAMSUNG ,S25 ULTRA ,S25 ULTRA 12GB 256GB 5G TITANIUM SILVER,129999,129999,8,https://amzn.in/d/iDNjGyK,,1 Year,Yes
,SAMSUNG ,S25 ULTRA ,S25 ULTRA 12GB 512GB 5G TITANIUM BLUE ,141999,141999,8,https://amzn.in/d/1CWiR5R,,1 Year,Yes
,SAMSUNG ,S25 ULTRA ,S25 ULTRA 12GB 512GB 5G TITANIUM BLACK,141999,141999,8,https://amzn.in/d/1CWiR5R,,1 Year,Yes
,SAMSUNG ,S25 ULTRA ,S25 ULTRA 12GB 512GB 5G TITANIUM GRAY,141999,141999,8,https://amzn.in/d/1CWiR5R,,1 Year,Yes
,SAMSUNG ,S25 ULTRA ,S25 ULTRA 12GB 512GB 5G TITANIUM SILVER,141999,141999,8,https://amzn.in/d/1CWiR5R,,1 Year,Yes
,SAMSUNG ,S25 ULTRA ,S25 ULTRA 12GB 1TB 5G TITANIUM BLUE,165999,159999,8,https://amzn.in/d/cedbjP3,,1 Year,Yes
,SAMSUNG ,S25 ULTRA ,S25 ULTRA 12GB 1TB 5G TITANIUM BLACK,165999,159999,8,https://amzn.in/d/cedbjP3,,1 Year,Yes
,SAMSUNG ,S25 ULTRA ,S25 ULTRA 12GB 1TB 5G TITANIUM GRAY,165999,159999,8,https://amzn.in/d/cedbjP3,,1 Year,Yes
,SAMSUNG ,S25 ULTRA,S25 ULTRA 12GB 1TB 5G TITANIUM SILVER,165999,159999,8,https://amzn.in/d/cedbjP4,,1 Year,Yes
,SAMSUNG ,FLIP 6,FLIP 6 12GB 256GB 5G MINT ,109999,84999,8,https://amzn.in/d/0iMtA8q,,1 Year,Yes
,SAMSUNG ,FLIP 6,FLIP 6 12GB 256GB 5G SILVER SHADOW,109999,84999,8,https://amzn.in/d/0iMtA8q,,1 Year,Yes
,SAMSUNG ,FLIP 6,FLIP 6 12GB 256GB 5G BLUE,109999,84999,8,https://amzn.in/d/0iMtA8q,,1 Year,Yes
,SAMSUNG ,FLIP 6,FLIP 6 12GB 512GB 5G MINT,119999,115000,8,https://amzn.in/d/bLpE7j3,,1 Year,Yes
,SAMSUNG ,FLIP 6,FLIP 6 12GB 512GB 5G SILVER SHADOW,119999,115000,8,https://amzn.in/d/bLpE7j3,,1 Year,Yes
,SAMSUNG ,FLIP 6,FLIP 6 12GB 512GB 5G BLUE,119999,115000,8,https://amzn.in/d/bLpE7j3,,1 Year,Yes
,SAMSUNG ,FOLD 6,FOLD 6 12GB 256GB 5G SILVER SHADOW,164999,144999,8,https://amzn.in/d/hiGcWbJ,,1 Year,Yes
,SAMSUNG ,FOLD 6,FOLD 6 12GB 256GB 5G NAVY ,164999,144999,8,https://amzn.in/d/hiGcWbJ,,1 Year,Yes
,SAMSUNG ,FOLD 6,FOLD 6 12GB 256GB 5G PINK,164999,144999,8,https://amzn.in/d/hiGcWbJ,,1 Year,Yes
,SAMSUNG ,FOLD 6,FOLD 6 12GB 512GB 5G SILVER SHADOW,184999,164999,8,https://www.amazon.in/Samsung-Galaxy-Fold6-Smartphone-Storage/dp/B0D841Z76B/ref=sr_1_3?crid=3OZX5PTD28B3X&dib=eyJ2IjoiMSJ9.AX32kOKEuelzroivY6tDohY6sakEh5s5yaZUNUwcp_Y7TUokQhDjgvJo3hPPBXxm6L3gbTx9Zm3xqxC7KuYGuckGGceOjBtlTPMVz3ffb3S9hu54UOLGU6HWV87ULWJgzBG_po_Zf7CdQwB7oQ3gYSo_A49lMnaufeovQV2zphiOtwWZy46n_hPlmyPW5FtmzF8LzNkTSkZddjFnZBWVfcU--arCPxP0L-d-XMea_kM.Em12lPIDjffQvfb6mtQjt-8BgBBKNtKsKeuKDYbWaLI&dib_tag=se&keywords=samsung+fold+6+5g&nsdOptOutParam=true&qid=1745923814&sprefix=sasmung+fol%2Caps%2C344&sr=8-3,,1 Year,Yes
,SAMSUNG ,FOLD 6,FOLD 6 12GB 512GB 5G NAVY ,184999,164999,8,https://www.amazon.in/Samsung-Galaxy-Fold6-Smartphone-Storage/dp/B0D841Z76B/ref=sr_1_3?crid=3OZX5PTD28B3X&dib=eyJ2IjoiMSJ9.AX32kOKEuelzroivY6tDohY6sakEh5s5yaZUNUwcp_Y7TUokQhDjgvJo3hPPBXxm6L3gbTx9Zm3xqxC7KuYGuckGGceOjBtlTPMVz3ffb3S9hu54UOLGU6HWV87ULWJgzBG_po_Zf7CdQwB7oQ3gYSo_A49lMnaufeovQV2zphiOtwWZy46n_hPlmyPW5FtmzF8LzNkTSkZddjFnZBWVfcU--arCPxP0L-d-XMea_kM.Em12lPIDjffQvfb6mtQjt-8BgBBKNtKsKeuKDYbWaLI&dib_tag=se&keywords=samsung+fold+6+5g&nsdOptOutParam=true&qid=1745923814&sprefix=sasmung+fol%2Caps%2C344&sr=8-3,,1 Year,Yes
,SAMSUNG ,FOLD 6,FOLD 6 12GB 512GB 5G PINK,184999,164999,8,https://www.amazon.in/Samsung-Galaxy-Fold6-Smartphone-Storage/dp/B0D841Z76B/ref=sr_1_3?crid=3OZX5PTD28B3X&dib=eyJ2IjoiMSJ9.AX32kOKEuelzroivY6tDohY6sakEh5s5yaZUNUwcp_Y7TUokQhDjgvJo3hPPBXxm6L3gbTx9Zm3xqxC7KuYGuckGGceOjBtlTPMVz3ffb3S9hu54UOLGU6HWV87ULWJgzBG_po_Zf7CdQwB7oQ3gYSo_A49lMnaufeovQV2zphiOtwWZy46n_hPlmyPW5FtmzF8LzNkTSkZddjFnZBWVfcU--arCPxP0L-d-XMea_kM.Em12lPIDjffQvfb6mtQjt-8BgBBKNtKsKeuKDYbWaLI&dib_tag=se&keywords=samsung+fold+6+5g&nsdOptOutParam=true&qid=1745923814&sprefix=sasmung+fol%2Caps%2C344&sr=8-3,,1 Year ,Yes
,,,,,,,,,,Yes
,,,,,,,,,,Yes
,OPPO ,A3X 5G,A3X 4G 4GB 64GB Starry Purple,12999,8999,8,https://amzn.in/d/062nKLC,,1 Year,Yes
,OPPO ,A3X 5G,"A3X 4G 4GB 64GB Nebula Red,",12999,8999,8,https://amzn.in/d/062nKLC,,1 Year,Yes
,OPPO ,A3X 5G,A3X 4G 4GB 64G Sparkle Black,12999,8999,8,https://amzn.in/d/062nKLC,,1 Year,Yes
,OPPO ,A3X 5G,A3X 4G 4GB 128GB STARRY PURPLE,13999,9999,8,https://amzn.in/d/iycJc5f,,1 Year,Yes
,OPPO ,A3X 5G,A3X 4G 4GB 128GB NEBULA RED,13999,9999,8,https://amzn.in/d/iycJc5f,,1 Year,Yes
,OPPO ,A3X 5G,A3X 4G 4GB 128GB SPARKLE BLACK,13999,9999,8,https://amzn.in/d/iycJc5f,,1 Year,Yes
,OPPO ,A3 5G ,A3 5G 6GB 128GB NEBULA RED ,19999,14999,8,https://amzn.in/d/755XU2A,,1 Year,Yes
,OPPO ,A3 5G ,A3 5G 6GB 128GB OCEAN BLUE,19999,14999,8,https://amzn.in/d/755XU2A,,1 Year,Yes
,OPPO ,A3 PRO,A3PRO 5G 8GB 128GB MOONLIGHT PURPLE,20999,16999,8,https://amzn.in/d/2BoF2CG,,1 Year,Yes
,OPPO ,A3 PRO,A3PRO 5G 8GB 128GB STARRY BLACK,20999,16999,8,https://amzn.in/d/2BoF2CG,,1 Year,Yes
,OPPO ,A3 PRO,A3PRO 5G 8GB 256GB MOONLIGHT PURPLE,22999,18999,8,https://amzn.in/d/dfdKHeC,,1 Year,Yes
,OPPO ,A3 PRO,A3PRO 5G 8GB 256GB STARRY BLACK,22999,18999,8,https://amzn.in/d/dfdKHeC,,1 Year,Yes
,OPPO ,A5 PRO,A5PRO 5G 8GB 128GB MOCHA BROWN,21999,17999,8,https://amzn.in/d/i5LqBce,,1 Year,Yes
,OPPO ,A5 PRO,A5PRO 5G 8GB 128GB FEATHER BLUE,21999,17999,8,https://amzn.in/d/i5LqBce,,1 Year,Yes
,OPPO ,A5 PRO,A5PRO 5G 8GB 256GB MOCHA BROWN,23999,19999,8,https://amzn.in/d/gqq4yKH,,1 Year,Yes
,OPPO ,A5 PRO,A5PRO 5G 8GB 256GB FEATHER BLUE,23999,19999,8,https://amzn.in/d/gqq4yKH,,1 Year,Yes
,OPPO ,F27,F27 5G 8GB 128GB EMERALD GREEN,26999,20999,8,https://amzn.in/d/dc49bBv,,1 Year,Yes
,OPPO ,F27,F27 5G 8GB 128GB ORANGE,26999,20999,8,https://amzn.in/d/dc49bBv,,1 Year,Yes
,OPPO ,F27,F27 5G 8GB 256GB EMERALD GREEN,28999,22999,8,skip,,1 Year,Yes
,OPPO ,F27,F27 5G 8GB 256GB ORANGE,28999,22999,8,skip,,1 Year,Yes
,OPPO ,F27,F27 PRO+ 5G 8GB 128GB MIDNIGHT NAVY,32999,25999,8,https://amzn.in/d/6HcjLXy,,1 Year,Yes
,OPPO ,F27,F27 PRO+ 5G 8GB 128GB DUSK PINK,32999,25999,8,https://amzn.in/d/6HcjLXy,,1 Year,Yes
,OPPO ,F27,F27 PRO+ 5G 8GB 256GB MIDNIGHT NAVY,34999,27999,8,https://amzn.in/d/aTDjwgE,,1 Year,Yes
,OPPO ,F27,F27 PRO+ 5G 8GB 256GB DUSK PINK,34999,27999,8,https://amzn.in/d/aTDjwgE,,1 Year,Yes
,OPPO ,F29,F29 5G 8GB 128GB SOLID PURPLE,28999,23999,8,https://amzn.in/d/9hGCEnz,,1 Year,Yes
,OPPO ,F29 ,F29 5G 8GB 128GB GLACIER BLUE,28999,23999,8,https://amzn.in/d/9hGCEnz,,1 Year,Yes
,OPPO ,F29,F29 5G 8GB 256GB SOLID PURPLE,30999,25999,8,https://amzn.in/d/2NiO8cp,,1 Year,Yes
,OPPO ,F29,F29 5G 8GB 256GB GLACIER BLUE,30999,25999,8,https://amzn.in/d/2NiO8cp,,1 Year,Yes
,OPPO ,F29,F29 PRO 5G 8GB 128GB GRANITE BLACK,32999,27999,8,https://amzn.in/d/2VU32WF,,1 Year,Yes
,OPPO ,F29,F29 PRO 5G 8GB 128GB MARBLE WHITE,32999,27999,8,https://amzn.in/d/2VU32WF,,1 Year,Yes
,OPPO ,F29,F29 PRO 5G 8GB 256GB GRANITE BLACK,34999,29999,8,https://amzn.in/d/6U5seOn,,1 Year,Yes
,OPPO ,F29,F29 PRO 5G 8GB 256GB MARBLE WHITE,34999,29999,8,https://amzn.in/d/6U5seOn,,1 Year,Yes
,OPPO ,F29 ,F29 PRO 5G 12GB 256GB GRANITE BLACK,36999,31999,8,https://amzn.in/d/0rCw1Dr,,1 Year,Yes
,OPPO ,F29,F29 PRO 5G 12GB 256GB MARBLE WHITE,36999,31999,8,https://amzn.in/d/0rCw1Dr,,1 Year,Yes
,OPPO ,RENO12,RENO12 5G 8GB 256GB MATTE BROWN,43999,32999,8,https://www.amazon.in/Oppo-Reno-Matte-Brown-256/dp/B0DB6B6NB6/ref=sr_1_2?crid=1UJ8PCRATL089&dib=eyJ2IjoiMSJ9.y2Q0sXcnUDRAgK7QkzLbsGNuYYbgJrwbYJ-X3ZZQSVS1cPhFABptWd3fiEx0ZuML9Da3IsiBQyFLV6m_Cb3OX6x5aHeiFp1ikZKSqiguRWF-z1MM_Flunkw4ycAs8hxsDoHDSuL5iyiHAof-XJFbQU6-bjn5rd2xHi3qQSSQV43IiOSH7zBWykQjDIhy8MvqJBv4gdbKZQQiGbyEtS391UPy72WkOFf7gjmcZ_TEbXM.-Im1Yt63CiFNrpJkmB1ovACbJBluFvMq9E2QtExFlzI&dib_tag=se&keywords=reno+12+5g&qid=1745834723&sprefix=RENO+12%2Caps%2C272&sr=8-2,,1 Year,Yes
,OPPO ,RENO12,RENO12 5G 8GB 256GB SUNSET PEACH,43999,32999,8,https://www.amazon.in/Oppo-Reno-Matte-Brown-256/dp/B0DB6B6NB6/ref=sr_1_2?crid=1UJ8PCRATL089&dib=eyJ2IjoiMSJ9.y2Q0sXcnUDRAgK7QkzLbsGNuYYbgJrwbYJ-X3ZZQSVS1cPhFABptWd3fiEx0ZuML9Da3IsiBQyFLV6m_Cb3OX6x5aHeiFp1ikZKSqiguRWF-z1MM_Flunkw4ycAs8hxsDoHDSuL5iyiHAof-XJFbQU6-bjn5rd2xHi3qQSSQV43IiOSH7zBWykQjDIhy8MvqJBv4gdbKZQQiGbyEtS391UPy72WkOFf7gjmcZ_TEbXM.-Im1Yt63CiFNrpJkmB1ovACbJBluFvMq9E2QtExFlzI&dib_tag=se&keywords=reno+12+5g&qid=1745834723&sprefix=RENO+12%2Caps%2C272&sr=8-2,,1 Year,Yes
,OPPO ,RENO12,RENO12 PRO 5G 12GB 256GB SPACE BROWN,51999,38999,8,https://www.amazon.in/Oppo-Reno-Pro-Sunset-Gold/dp/B0D9C5JZCT/ref=sr_1_3?crid=2DIJGQTELPXXR&dib=eyJ2IjoiMSJ9.vxzhTWwVy7Jd_L0l_mSVfpRCC2btho_a8N5n_QjCV9lfdSXQjbS1_G8PDUOOduJtTdCeiITtaPKiGJONcpZghv1sEIXOpmxSU6H9aEP9_GMiSdkmFYLgdt25gSUTCq3lggeetr9a0iMacfiKx371YdaBRPjA_JaU_Gfw2cki6EZRn6oVqC7kz7Ugv_XBnXGZu2eIZz3WM45u0moJD3qRy3RALpWsni5k8tO39jm5eII.Z3PzF5Oh3agj6RfQ97_sTpFugZnd0uOijGzKnIYP6BU&dib_tag=se&keywords=reno+12+PRO+5g&qid=1745834771&sprefix=reno+12+pro+5g%2Caps%2C279&sr=8-3,,1 Year,Yes
,OPPO ,RENO12,RENO12 PRO 5G 12GB 256GB SUNSET GOLD,51999,38999,8,https://www.amazon.in/Oppo-Reno-Pro-Sunset-Gold/dp/B0D9C5JZCT/ref=sr_1_3?crid=2DIJGQTELPXXR&dib=eyJ2IjoiMSJ9.vxzhTWwVy7Jd_L0l_mSVfpRCC2btho_a8N5n_QjCV9lfdSXQjbS1_G8PDUOOduJtTdCeiITtaPKiGJONcpZghv1sEIXOpmxSU6H9aEP9_GMiSdkmFYLgdt25gSUTCq3lggeetr9a0iMacfiKx371YdaBRPjA_JaU_Gfw2cki6EZRn6oVqC7kz7Ugv_XBnXGZu2eIZz3WM45u0moJD3qRy3RALpWsni5k8tO39jm5eII.Z3PzF5Oh3agj6RfQ97_sTpFugZnd0uOijGzKnIYP6BU&dib_tag=se&keywords=reno+12+PRO+5g&qid=1745834771&sprefix=reno+12+pro+5g%2Caps%2C279&sr=8-3,,1 Year,Yes
,OPPO ,RENO12,RENO12 PRO 5G 12GB 256GB MANISH MALHOTRA,51999,38999,8,https://www.amazon.in/Oppo-Reno-Pro-Sunset-Gold/dp/B0D9C5JZCT/ref=sr_1_3?crid=2DIJGQTELPXXR&dib=eyJ2IjoiMSJ9.vxzhTWwVy7Jd_L0l_mSVfpRCC2btho_a8N5n_QjCV9lfdSXQjbS1_G8PDUOOduJtTdCeiITtaPKiGJONcpZghv1sEIXOpmxSU6H9aEP9_GMiSdkmFYLgdt25gSUTCq3lggeetr9a0iMacfiKx371YdaBRPjA_JaU_Gfw2cki6EZRn6oVqC7kz7Ugv_XBnXGZu2eIZz3WM45u0moJD3qRy3RALpWsni5k8tO39jm5eII.Z3PzF5Oh3agj6RfQ97_sTpFugZnd0uOijGzKnIYP6BU&dib_tag=se&keywords=reno+12+PRO+5g&qid=1745834771&sprefix=reno+12+pro+5g%2Caps%2C279&sr=8-3,,1 Year,Yes
